last_name, first_name,player_id,year,p_formatted_ip,p_era,p_opp_batting_avg,
Hernandez, Darwinzon,650382,2022,6.2,21.60,.424,
Mejia, J.C.,650496,2022,2.1,23.14,.455,
Garcia, Bryan,650530,2022,13.2,3.29,.191,
Abreu, Bryan,650556,2022,53.2,1.84,.195,
King, Michael,650633,2022,51.0,2.29,.192,
Civale, Aaron,650644,2022,75.0,5.40,.265,
Quijada, Jose,650671,2022,31.1,3.73,.184,
Cabrera, Genesis,650893,2022,44.2,4.63,.231,
Castillo, Diego,650895,2022,47.0,4.02,.215,
Sanchez, Cristopher,650911,2022,37.0,5.59,.238,
Diplan, Marcos,650959,2022,5.2,1.59,.182,
Duarte, Daniel,650960,2022,2.2,10.13,.300,
Rodriguez, Manuel,655889,2022,7.0,3.86,.259,
Zabala, Aneurys,656008,2022,2.2,0.00,.333,
Abreu, Albert,656061,2022,38.0,3.32,.239,
Beeks, Jalen,656222,2022,58.1,2.93,.227,
Bielak, Brandon,656232,2022,12.1,3.65,.234,
Bird, Jake,656234,2022,37.0,4.62,.246,
Brigham, Jeff,656257,2022,15.0,4.20,.259,
Burke, Brock,656271,2022,71.2,1.51,.204,
Carlton, Drew,656290,2022,8.2,2.08,.129,
Cease, Dylan,656302,2022,162.0,2.06,.184,
Coonrod, Sam,656322,2022,9.2,3.72,.167,
Davidson, Tucker,656353,2022,42.2,6.96,.275,
Davis, Austin,656354,2022,56.0,5.79,.258,
Faedo, Alex,656412,2022,53.2,5.53,.293,
Feyereisen, J.P.,656420,2022,24.1,0.00,.086,
Flaherty, Jack,656427,2022,18.0,4.50,.282,
Gilbert, Tyler,656457,2022,34.1,5.24,.250,
Gilbreath, Lucas,656458,2022,43.0,4.19,.242,
Ginkel, Kevin,656464,2022,21.0,4.29,.272,
Griffin, Foster,656492,2022,4.1,12.46,.375,
Hentges, Sam,656529,2022,54.1,2.65,.191,
Hoffman, Jeff,656546,2022,44.2,3.83,.235,
Holloway, Jordan,656548,2022,2.2,3.38,.300,
Houck, Tanner,656557,2022,60.0,3.15,.226,
Keller, Mitch,656605,2022,137.0,4.01,.269,
Kopech, Michael,656629,2022,114.1,3.78,.202,
Lange, Alex,656638,2022,53.2,4.02,.212,
Logue, Zach,656657,2022,57.0,6.79,.293,
Martin, Brett,656685,2022,49.2,4.17,.262,
Martin, Corbin,656686,2022,22.1,4.84,.291,
Megill, Trevor,656730,2022,40.2,3.98,.272,
Megill, Tylor,656731,2022,41.1,5.01,.245,
Montes de Oca, Bryce,656755,2022,3.1,10.80,.412,
Montgomery, Jordan,656756,2022,158.0,3.08,.227,
Mushinski, Parker,656786,2022,7.1,3.68,.192,
Nelson, Nick,656793,2022,62.1,4.62,.247,
Newcomb, Sean,656794,2022,27.2,8.78,.287,
Norwood, James,656803,2022,17.1,8.31,.316,
Ortiz, Luis,656814,2022,2.2,0.00,.111,
Overton, Connor,656818,2022,24.2,1.82,.185,
Peterson, David,656849,2022,98.2,3.47,.238,
Rasmussen, Drew,656876,2022,122.2,2.57,.221,
Reid-Foley, Sean,656887,2022,10.0,5.40,.194,
Scott, Tanner,656945,2022,55.2,4.20,.232,
Sheffield, Justus,656954,2022,6.2,0.00,.095,
Smeltzer, Devin,656970,2022,70.1,3.71,.253,
Sousa, Bennett,656986,2022,20.1,8.41,.301,
Steele, Justin,657006,2022,119.0,3.18,.244,
Swanson, Erik,657024,2022,45.1,1.19,.191,
Thompson, Ryan,657044,2022,42.2,3.80,.234,
Toussaint, Touki,657053,2022,25.1,4.62,.176,
Watkins, Spenser,657093,2022,94.2,4.37,.270,
Wright, Kyle,657140,2022,158.2,3.23,.231,
Merryweather, Julian,657240,2022,23.0,5.48,.286,
Otto Jr., Glenn,657248,2022,114.2,4.71,.229,
Strzelecki, Peter,657265,2022,25.0,3.60,.250,
Uelmen, Erich,657272,2022,18.2,5.79,.270,
Webb, Logan,657277,2022,178.0,2.88,.240,
